,Region,Year,CropType,Production_Tonnes,Area_Hectares,Population,Area,Yield_Tonnes_per_Hectare
0,Autonomous Republic of Crimea,2011,Wheat,126646.0,32562.0,1963000,South,3.889380259197838
1,Autonomous Republic of Crimea,2011,Barley,62983.0,18040.0,1963000,South,
2,Autonomous Republic of Crimea,2011,Corn,270873.0,35403.0,1963000,South,7.651131260062707
3,Autonomous Republic of Crimea,2011,Sunflower,45552.0,21796.0,1963000,South,2.089924756836117
4,Autonomous Republic of Crimea,2011,rye,,28884.0,1963000,South,1.8433388727323086
5,Autonomous Republic of Crimea,2011,Soybean,50973.0,31118.0,1963000,South,
6,Autonomous Republic of Crimea,2011,Potatoes,284372.0,20662.0,1963000,South,13.763043267834671
7,Autonomous Republic of Crimea,2012,Wheat,,23634.0,1963000,South,4.4781670474739785
8,Autonomous Republic of Crimea,2012,Barley,83184.0,24709.0,1963000,South,3.3665466024525474
9,Autonomous Republic of Crimea,2012,Corn,173996.0,21966.0,1963000,South,
10,Autonomous Republic of Crimea,2012,Sunflower,,22066.0,1963000,South,
11,Autonomous Republic of Crimea,2012,Rye,73256.0,,1963000,South,2.7972049333689717
12,Autonomous Republic of Crimea,2012,Soybean,59589.0,33298.0,1963000,South,1.7895669409574149
13,Autonomous Republic of Crimea,2012,Potatoes,9408032.599673502,,1963000,South,21.58090964011392
14,Autonomous Republic of Crimea,2013,Wheat,127298.0,30770.0,1963000,South,4.137081572960676
15,Autonomous Republic of Crimea,2013,Barley,45851.0,19511.0,1963000,South,2.3500076879708884
16,Autonomous Republic of Crimea,2013,Corn,189698.0,23461.0,1963000,South,8.085674097438302
17,Autonomous Republic of Crimea,2013,Sunflower,48605.0,20650.0,1963000,South,2.3537530266343825
18,Autonomous Republic of Crimea,2013,Rye,64290.0,20700.0,1963000,South,3.1057971014492756
19,Autonomous Republic of Crimea,2013,Soybean,95824.0,33695.0,1963000,South,
20,Autonomous Republic of Crimea,2013,Potatoes,396095.0,23201.0,1963000,South,
21,Autonomous Republic of Crimea,2014,Wheat,70951.0,14540.0,1963000,South,
22,Autonomous Republic of Crimea,2014,Barley,50824.0,19682.0,1963000,South,2.582257900619856
23,Autonomous Republic of Crimea,2014,Corn,225255.0,32435.0,1963000,South,6.944812702327733
24,Autonomous Republic of Crimea,2014,Sunflower,62883.0,30796.0,1963000,South,2.0419210287050267
25,Autonomous Republic of Crimea,2014,Rye,110663.0,,1963000,South,2.9690652500536596
26,Autonomous Republic of Crimea,2014,Soybean,20429.0,7268.0,1963000,South,2.810814529444139
