,Region,Year,CropType,Production_Tonnes,Area_Hectares,Yield_Tonnes_per_Hectare
0,Lviv Oblast,2021,Barley,14910.0,5240.0,2.83268902184886
1,Poltava Oblast,2021,Soybean,14622.0,2752.0,2.8768168604651163
2,Dnipropetrovsk Oblast,2018,Soybean,16581.0,6502.0,2.550138418948016
3,Vinnytsia Oblast,2019,Sunflower,18710.0,6053.0,3.091029241698332
4,Kyiv Oblast,2019,Soybean,16217.0,4317.0,3.7565438962242297
5,Vinnytsia Oblast,2022,Wheat,14622.0,5015.0,3.662598870056497
6,Odesa Oblast,2020,Rye,11800.0,2931.0,4.0259297168201975
7,Cherkasy Oblast,2020,Rye,16034.0,4933.0,3.2503547536995745
8,Poltava Oblast,2022,Rye,14622.0,2721.0,7.500918779860346
9,Kyiv Oblast,2022,Barley,9339.0,3268.0,2.857711138310893
10,Poltava Oblast,2022,Corn,9165.0,3283.0,2.791653975022845
11,Vinnytsia Oblast,2022,Barley,14937.0,5015.0,3.8567002323780017
12,Poltava Oblast,2022,Rye,23019.0,5015.0,3.76066002287208
13,Lviv Oblast,2020,Soybean,4289.0,5763.0,0.7442304355370467
14,Cherkasy Oblast,2020,Sunflower,14622.0,8266.0,1.556254536656182
15,Dnipropetrovsk Oblast,2018,Rye,18179.0,5797.0,3.135932378816629
16,Lviv Oblast,2018,Soybean,14831.0,5796.0,2.558833678398896
17,Dnipropetrovsk Oblast,2018,Corn,16990.0,6464.0,2.6284034653465347
18,Dnipropetrovsk Oblast,2018,Potatoes,13965.0,3003.0,4.65034965034965
19,Odesa Oblast,2020,Soybean,12947.0,3198.0,2.83268902184886
20,Poltava Oblast,2021,Corn,9360.0,5211.0,1.7962003454231434
21,Kharkiv Oblast,2020,Wheat,16157.0,4680.0,2.83268902184886
22,Odesa Oblast,2019,Rye,22474.0,5859.0,3.835808158388804
23,Kharkiv Oblast,2022,Sunflower,14185.0,4486.0,3.1620597414177443
24,Kharkiv Oblast,2021,Potatoes,14622.0,3015.0,3.205970149253732
25,Odesa Oblast,2018,Potatoes,14622.0,5811.0,2.467217346411977
26,Kharkiv Oblast,2018,Sunflower,13145.0,5117.0,2.5688880203244087
27,Cherkasy Oblast,2021,Rye,16288.0,4263.0,3.820783485808117
28,Odesa Oblast,2019,Corn,10675.0,3220.0,3.315217391304348
29,Odesa Oblast,2018,Corn,15002.0,7438.0,2.016940037644528
30,Kyiv Oblast,2018,Wheat,7846.0,5450.0,1.439633027522936
31,Odesa Oblast,2018,Wheat,14622.0,4449.0,1.540795684423466
32,Zhytomyr Oblast,2020,Potatoes,19840.0,3134.0,6.330567964262923
33,Odesa Oblast,2019,Wheat,16434.0,4476.0,2.83268902184886
34,Lviv Oblast,2022,Sunflower,20598.0,5827.0,3.534923631371203
35,Odesa Oblast,2021,Soybean,20852.0,5958.0,3.4998321584424303
36,Dnipropetrovsk Oblast,2019,Soybean,16936.0,6411.0,2.641709561690844
37,Poltava Oblast,2020,Barley,14622.0,5984.0,1.7496657754010696
38,Lviv Oblast,2021,Soybean,14372.0,4514.0,3.183872396987151
39,Zhytomyr Oblast,2020,Rye,20881.0,4206.0,4.964574417498811
40,Poltava Oblast,2018,Wheat,11955.0,6000.0,1.9925
41,Kharkiv Oblast,2018,Corn,19180.0,8479.0,2.2620592050949404
42,Vinnytsia Oblast,2018,Barley,16459.0,4866.0,3.3824496506370734
43,Zhytomyr Oblast,2019,Wheat,4504.0,5015.0,0.923139987702398
44,Cherkasy Oblast,2022,Rye,10896.0,6362.0,1.712668972021377
45,Dnipropetrovsk Oblast,2021,Rye,22286.0,6258.0,3.561201661872803
