,Region,Year,WineType,Production_Hectoliters,Area_Hectares,Population,Area,Yield_Hl_Ha
0,Abruzzo,2011,Sangiovese (Red),27027.0,423.0,1200000,Center,63.9
1,Abruzzo,2011,Nebbiolo (Red),12001.0,242.0,1200000,Center,49.6
2,Abruzzo,2011,Glera (Prosecco/Sparkling),,453.0,1200000,Center,119.2
3,abruzzo,2011,Pinot Grigio (White),24407.0,288.0,1200000,Center,84.7
4,Abruzzo,2011,Primitivo (Red),21725.0,376.0,1200000,Center,57.8
5,Abruzzo,2011,Montepulciano (Red),420869.0,6033.0,1200000,Center,69.8
6,Abruzzo,2012,Sangiovese (Red),14767.0,,1200000,Center,53.7
7,Abruzzo,2012,Nebbiolo (Red),15500.0,304.0,1200000,Center,51.0
8,Abruzzo,2012,Glera (Prosecco/Sparkling),35291.0,317.0,1200000,Center,111.3
9,Abruzzo,2012,Pinot Grigio (White),27952.0,281.0,1200000,Center,99.5
10,Abruzzo,2012,Primitivo (Red),25851.0,282.0,1200000,Center,91.7
11,Abruzzo,2012,Montepulciano (Red),429990.0,5062.0,1200000,Center,84.9
12,Abruzzo,2013,Sangiovese (Red),23032.0,417.0,1200000,Center,55.2
13,Abruzzo,2013,Nebbiolo (Red),30815.0,571.0,1200000,Center,
14,Abruzzo,2013,Glera (Prosecco/Sparkling),43814.0,391.0,1200000,Center,112.1
15,Abruzzo,2013,Pinot Grigio (White),18986.0,256.0,1200000,Center,74.2
16,Abruzzo,2013,Primitivo (Red),25692.0,304.0,1200000,Center,84.5
17,Abruzzo,2013,Montepulciano (Red),354615.0,4107.0,1200000,Center,86.3
18,Abruzzo,2014,Sangiovese (Red),18801.0,269.0,1200000,Center,
19,Abruzzo,2014,Nebbiolo (Red),22601.0,431.0,1200000,Center,
20,Abruzzo,2014,Glera (Prosecco/Sparkling),32418.0,305.0,1200000,Center,106.3
21,Abruzzo,2014,Pinot Grigio (White),20603.0,204.0,1200000,Center,101.0
22,Abruzzo,2014,Primitivo (Red),17471.0,,1200000,Center,64.2
23,Abruzzo,2014,Montepulciano (Red),570896.0,,1200000,Center,88.0
24,Abruzzo,2015,Sangiovese (Red),24713.0,413.0,1200000,Center,
25,Abruzzo,2015,Nebbiolo (Red),24497.0,493.0,1200000,Center,49.7
26,Abruzzo,2015,Glera (Prosecco/Sparkling),13424.0,112.0,1200000,Center,119.9
27,Abruzzo,2015,Pinot Grigio (White),23298.0,232.0,1200000,Center,100.4
28,Abruzzo,2015,Primitivo (Red),26123.0,334.0,1200000,Center,78.2
29,abruzzo,2015,Montepulciano (Red),366698.0,3967.0,1200000,Center,92.4
30,Abruzzo,2016,Sangiovese (Red),18966.0,311.0,1200000,Center,61.0
31,Abruzzo,2016,Nebbiolo (Red),23399.0,435.0,1200000,Center,53.8
32,Abruzzo,2016,Glera (Prosecco/Sparkling),52736.0,,1200000,Center,116.2
33,Abruzzo,2016,Pinot Grigio (White),47804.0,521.0,1200000,Center,91.8
34,Abruzzo,2016,Primitivo (Red),20174.0,280.0,1200000,Center,72.0
35,Abruzzo,2016,Montepulciano (Red),626520.0,7633.0,1200000,Center,82.1
36,Abruzzo,2017,Sangiovese (Red),19124.0,354.0,1200000,Center,54.0
37,Abruzzo,2017,Nebbiolo (Red),12468.0,313.0,1200000,Center,39.8
38,Abruzzo,2017,Glera (Prosecco/Sparkling),46541.0,468.0,1200000,Center,99.4
39,Abruzzo,2017,Pinot Grigio (White),27523.0,301.0,1200000,Center,91.4
40,Abruzzo,2017,Primitivo (Red),11502.0,179.0,1200000,Center,64.3
41,Abruzzo,2017,Montepulciano (Red),381076.0,5541.0,1200000,Center,68.8
42,Abruzzo,2018,Sangiovese (Red),21437.0,318.0,1200000,Center,67.4
43,Abruzzo,2018,Nebbiolo (Red),17746.0,370.0,1200000,Center,48.0
44,Abruzzo,2018,Glera (Prosecco/Sparkling),70461.0,592.0,1200000,Center,119.0
45,Abruzzo,2018,Pinot Grigio (White),30632.0,295.0,1200000,Center,103.8
46,abruzzo,2018,Primitivo (Red),35801.0,378.0,1200000,Center,94.7
47,Abruzzo,2018,Montepulciano (Red),418105.0,4437.0,1200000,Center,
48,Abruzzo,2019,Sangiovese (Red),23291.0,382.0,1200000,Center,61.0
49,Abruzzo,2019,Nebbiolo (Red),15744.0,341.0,1200000,Center,46.2
50,Abruzzo,2019,Glera (Prosecco/Sparkling),42802.0,370.0,1200000,Center,115.7
51,Abruzzo,2019,Pinot Grigio (White),34030.0,385.0,1200000,Center,88.4
52,Abruzzo,2019,Primitivo (Red),22639.0,314.0,1200000,Center,72.1
53,Abruzzo,2019,Montepulciano (Red),459598.0,5075.0,1200000,Center,90.6
54,Abruzzo,2020,sangiovese (red),28824.0,382.0,1200000,Center,75.5
55,Abruzzo,2020,Nebbiolo (Red),16768.0,357.0,1200000,Center,
56,Abruzzo,2020,Glera (Prosecco/Sparkling),59690.0,500.0,1200000,Center,119.4
57,Abruzzo,2020,Pinot Grigio (White),41802.0,514.0,1200000,Center,81.3
58,Abruzzo,2020,Primitivo (Red),30700.0,393.0,1200000,Center,78.1
59,Abruzzo,2020,Montepulciano (Red),480923.0,5145.0,1200000,Center,93.5
60,Abruzzo,2021,Sangiovese (Red),20631.0,348.0,1200000,Center,59.3
61,Abruzzo,2021,Nebbiolo (Red),16347.0,390.0,1200000,Center,41.9
62,Abruzzo,2021,Glera (Prosecco/Sparkling),41846.0,355.0,1200000,Center,
63,Abruzzo,2021,Pinot Grigio (White),24080.0,306.0,1200000,Center,78.7
64,Abruzzo,2021,Primitivo (Red),36208.0,460.0,1200000,Center,78.7
65,Abruzzo,2021,Montepulciano (Red),355863.0,4116.0,1200000,Center,86.5
66,Abruzzo,2022,Sangiovese (Red),17892.0,306.0,1200000,Center,58.5
67,Abruzzo,2022,Nebbiolo (Red),21060.0,450.0,1200000,Center,46.8
68,Abruzzo,2022,Glera (Prosecco/Sparkling),63083.0,495.0,1200000,Center,127.4
69,Abruzzo,2022,Pinot Grigio (White),21786.0,,1200000,Center,89.7
70,Abruzzo,2022,Primitivo (Red),22691.0,286.0,1200000,Center,79.3
71,Abruzzo,2022,Montepulciano (Red),528547.0,5720.0,1200000,Center,92.4
72,Abruzzo,2023,Sangiovese (Red),12084.0,303.0,1200000,Center,39.9
73,Abruzzo,2023,Nebbiolo (Red),9998.0,279.0,1200000,Center,
74,Abruzzo,2023,Glera (Prosecco/Sparkling),47608.0,514.0,1200000,Center,92.6
75,Abruzzo,2023,Pinot Grigio (White),26714.0,418.0,1200000,Center,63.9
76,Abruzzo,2023,Primitivo (Red),19487.0,392.0,1200000,Center,49.7
77,Abruzzo,2023,Montepulciano (Red),538362.0,6844.0,1200000,Center,78.7
78,Abruzzo,2024,Sangiovese (Red),,250.0,1200000,Center,57.5
79,Abruzzo,2024,Nebbiolo (Red),20650.0,419.0,1200000,Center,49.3
80,Abruzzo,2024,Glera (Prosecco/Sparkling),90771.0,581.0,1200000,Center,156.2
81,Abruzzo,2024,Pinot Grigio (White),50740.0,508.0,1200000,Center,99.9
82,Abruzzo,2024,Primitivo (Red),26431.0,323.0,1200000,Center,81.8
83,Abruzzo,2024,montepulciano (red),389847.0,5100.0,1200000,Center,76.4
84,Abruzzo,2025,Sangiovese (Red),27233.0,,1200000,Center,50.1
85,Abruzzo,2025,Nebbiolo (Red),14133.0,292.0,1200000,Center,48.4
86,Abruzzo,2025,Glera (Prosecco/Sparkling),48734.0,396.0,1200000,Center,123.1
87,Abruzzo,2025,Pinot Grigio (White),42995.0,,1200000,Center,
88,Abruzzo,2025,Primitivo (Red),20545.0,267.0,1200000,Center,76.9
89,Abruzzo,2025,Montepulciano (Red),916633.0,8862.0,1200000,Center,103.4
90,Basilicata,2011,Sangiovese (Red),1329.0,20.0,540000,South,66.4
91,Basilicata,2011,Nebbiolo (Red),1268.0,32.0,540000,South,39.6
92,Basilicata,2011,Glera (Prosecco/Sparkling),5297.0,44.0,540000,South,120.4
93,basilicata,2011,pinot grigio (white),2951.0,34.0,540000,South,
94,basilicata,2011,Primitivo (Red),79509.0,1011.0,540000,South,78.6
95,Basilicata,2011,Montepulciano (Red),4466.0,44.0,540000,South,101.5
96,Basilicata,2012,Sangiovese (Red),1467.0,24.0,540000,South,61.1
97,Basilicata,2012,Nebbiolo (Red),1950.0,,540000,South,57.4
98,Basilicata,2012,Glera (Prosecco/Sparkling),683.0,7.0,540000,South,97.6
99,basilicata,2012,Pinot Grigio (White),1539.0,20.0,540000,South,77.0
100,basilicata,2012,primitivo (red),44944.0,590.0,540000,South,76.2
101,Basilicata,2012,Montepulciano (Red),4664.0,43.0,540000,South,108.5
102,Basilicata,2013,Sangiovese (Red),1854.0,27.0,540000,South,68.7
103,Basilicata,2013,Nebbiolo (Red),12470.32913696652,38.0,540000,South,48.3
104,Basilicata,2013,Glera (Prosecco/Sparkling),4717.0,40.0,540000,South,117.9
105,Basilicata,2013,Pinot Grigio (White),3777.0,34.0,540000,South,111.1
106,Basilicata,2013,Primitivo (Red),57330.0,714.0,540000,South,80.3
107,Basilicata,2013,Montepulciano (Red),2873.0,33.0,540000,South,87.1
108,Basilicata,2014,Sangiovese (Red),2225.0,31.0,540000,South,71.8
109,Basilicata,2014,Nebbiolo (Red),2928.0,53.0,540000,South,55.2
110,Basilicata,2014,Glera (Prosecco/Sparkling),5407.0,46.0,540000,South,117.5
111,Basilicata,2014,Pinot Grigio (White),3979.0,48.0,540000,South,82.9
112,Basilicata,2014,Primitivo (Red),,659.0,540000,South,76.1
113,Basilicata,2014,Montepulciano (Red),3478.0,36.0,540000,South,96.6
114,Basilicata,2015,Sangiovese (Red),2877.0,39.0,540000,South,73.8
115,Basilicata,2015,Nebbiolo (Red),1873.0,38.0,540000,South,
116,basilicata,2015,Glera (Prosecco/Sparkling),5622.0,51.0,540000,South,110.2
117,Basilicata,2015,Pinot Grigio (White),3251.0,33.0,540000,South,98.5
118,Basilicata,2015,primitivo (red),59136.0,801.0,540000,South,73.8
119,Basilicata,2015,Montepulciano (Red),5547.0,58.0,540000,South,95.6
120,Basilicata,2016,Sangiovese (Red),1658.0,30.0,540000,South,
121,Basilicata,2016,Nebbiolo (Red),2566.0,50.0,540000,South,51.3
122,Basilicata,2016,Glera (Prosecco/Sparkling),4862.0,49.0,540000,South,99.2
123,Basilicata,2016,Pinot Grigio (White),14638.195619087675,20.0,540000,South,
124,Basilicata,2016,Primitivo (Red),36125.0,501.0,540000,South,72.1
125,Basilicata,2016,Montepulciano (Red),,42.0,540000,South,
126,Basilicata,2017,Sangiovese (Red),1970.0,38.0,540000,South,51.8
127,Basilicata,2017,Nebbiolo (Red),1871.0,41.0,540000,South,45.6
128,Basilicata,2017,Glera (Prosecco/Sparkling),2797.0,,540000,South,77.7
129,Basilicata,2017,Pinot Grigio (White),2730.0,30.0,540000,South,91.0
130,Basilicata,2017,Primitivo (Red),56078.0,721.0,540000,South,
131,Basilicata,2017,Montepulciano (Red),2629.0,36.0,540000,South,73.0
132,Basilicata,2018,Sangiovese (Red),2627.0,45.0,540000,South,58.4
133,basilicata,2018,Nebbiolo (Red),2083.0,43.0,540000,South,
134,Basilicata,2018,Glera (Prosecco/Sparkling),6205.0,,540000,South,105.2
